sample_group,time_in_hour,replication,2-Keto-D-gluconic acid,3-Indoleacetonitrile,Acetamide,Adipic acid,Allose,Alpha-Lactose,Benzoic acid,Beta-Alanine,Butyric acid,Cadaverine,Citric acid,Citrulline,D-Fructose,D-Galactose,D-Glucose,Decanoic acid,Dodecanoic acid,Erythrose,Fumaric acid,Gamma-Aminobutyric acid,Gluconic acid,Glutaric acid,Glyceric acid,Glycine,Glycolic acid,Hydroxylamine,L-Alanine,L-Asparagine,L-Aspartic acid,L-Glutamic acid,L-Glutamine,L-Lactic acid,L-Lysine,L-Ornithine monochlorohydrate/ornithine,L-Proline,L-Serine,L-Sorbose,L-Threonine,L-Valine,Malic acid,Mannobiose,Myoinositol,Myristic acid,N-Acetyl-D-glucosamine,N-Alpha-acetyllysine,Ornithine,Oxalic acid,Oxoglutaric acid,Palmitelaidic acid,Palmitic acid,Pelargonic acid,Phosphoric acid,Pimelic acid,Propionic acid,Putrescine,Pyroglutamic acid,Pyruvic acid,Sinapic acid,Sorbitol,Stearic acid,Succinic acid,Sucrose,Threonic acid,Turanose,Urea
0,24,1,0.036874916,0.030328243,0.070842497,0.612242902,0.04789989,0.130351259,0.033135845,0.063002128,0.3242199,0.448455539,0.131166472,0.091251227,13.68205119,3.260334912,6.539763066,0.043277201,0.029008437,3.486739458,0.155764998,0.144047803,0.102784589,0.036154471,0.15775001,3.300404251,0.039432347,6.1190004,1.762605067,0.500404586,0.544164781,1.061115534,0.569670431,1.178281951,0.15579754,0.792994712,0.11419598,0.572675809,0.405369873,0.305661907,6.601804235,0.447339021,0.049391327,0.51093251,0.06061591,2.476307655,0.047267531,0.304844905,0.616944232,0.063886575,0.335169742,2.258470004,0.25752694,4.531640958,0.089086507,0.0611778,0.126548375,4.189535786,0.099706501,0.192412202,3.849675143,1.547150246,0.185385485,15.27679912,0.153819366,1.134381281,0.181587589
0,24,2,0.040076672,0.030086825,0.114485118,0.6547415,0.091547582,0.193970323,0.042152139,0.068289597,0.135147528,0.565162161,0.203463045,0.122923679,17.49980641,6.865644846,8.659045315,0.074803285,0.03778665,3.144846761,0.199261589,0.144556822,0.114715894,0.029196602,0.146890145,1.817503278,0.042541739,6.509065127,0.992173226,0.425364185,0.565969939,1.098103044,0.483971303,1.289240329,0.187951713,0.830036988,0.133405817,0.403305444,1.266313952,0.285465482,6.952426732,0.458397127,0.070326237,0.504125096,0.091348988,2.561667184,0.043198499,0.359068659,0.648425407,0.061799349,0.418930444,2.085356956,0.376890653,4.268327555,0.08163021,0.075237931,0.160578562,5.146914077,0.107381187,0.239517236,4.268133188,1.737087423,0.199919557,15.1039751,0.152759336,1.170125774,0.176730098
0,24,3,0.040119271,0.029303038,0.089669261,0.495269231,0.067846885,0.1487092,0.049150132,0.060018329,0.392939817,0.488416139,0.12775234,0.086237141,15.8655481,7.225096822,7.840809082,0.057689898,0.030767964,3.800266207,0.1706493,0.146763774,0.142531405,0.047841813,0.139270807,2.780633212,0.039970664,4.239412703,1.818958655,0.18131141,0.495603059,0.685372883,0.519285445,1.463960482,0.12690037,0.900885063,0.129412078,0.557108414,2.050723967,0.215655839,3.667694217,0.363885479,0.04437896,0.529114981,0.074405175,2.947774254,0.048198463,0.323889679,0.690621041,0.056468516,0.411013498,1.524893318,0.14141432,3.753862929,0.057462011,0.088310907,0.138028187,3.311303317,0.116952704,0.207789157,3.323709806,1.23049389,0.177731818,12.45359303,0.13850401,0.796831005,0.161371011
0,24,4,0.031825328,0.031553984,0.081743022,0.461747728,0.036690941,0.135023888,0.065125975,0.723486786,0.257197328,0.530931478,0.142600673,0.088428439,14.62935791,6.650863825,7.322195142,0.077026884,0.030531696,3.226132157,0.144235046,0.147518204,0.090004495,0.048736525,0.125864706,2.9471225,0.041765855,4.139958774,1.291909078,0.148617701,0.557544451,1.102438751,0.476216752,1.372657717,0.153787677,0.984701508,0.12733439,0.720138105,1.073990052,0.194829589,5.458513966,0.393288615,0.043455032,0.5875889,0.062673951,2.533881206,0.039636223,0.270204553,0.60347312,0.065811699,0.342537118,1.594503823,0.205743104,4.433305,0.071255685,0.090398206,0.14232161,3.187907776,0.080801536,0.234718592,3.36174935,1.307179489,0.146235634,13.89564963,0.174197394,1.45577489,0.140988812
0,48,1,0.040284589,0.028369317,0.076760446,0.446155667,0.050765049,0.182692481,0.048901501,0.065556793,0.400180696,0.419112517,0.228711641,0.0985665,16.64340884,4.66279885,7.730533123,0.042567015,0.033548664,2.813791825,0.12727691,0.157306078,0.131882338,0.062646775,0.148804589,2.892243768,0.0342176,6.172164616,1.594127853,0.1988,0.485287215,1.052775575,0.415237055,1.636460676,0.160800829,0.820806627,0.17992925,0.603221697,1.051098447,0.27848526,6.678205305,0.424950582,0.065674751,0.432206052,0.065694526,1.633466943,0.041673331,0.42207128,0.521628569,0.069771443,0.431881342,2.703924979,0.306809964,4.539043002,0.054947977,0.078093913,0.165215596,5.194299234,0.088570252,0.297518946,2.360815268,1.889757141,0.154174348,16.7908803,0.178768103,2.079140236,0.130056768
0,48,2,0.032869949,0.031271666,0.070970296,0.472542831,0.05015309,0.21789562,0.040215993,0.069662124,0.291855445,0.420312141,0.199528372,0.072370979,11.56262897,5.685298782,7.649832668,0.029083367,0.030566272,2.782663553,0.179397727,0.160941062,0.135601175,0.026951291,0.150686447,2.413778177,0.036650062,4.681481127,1.308011334,0.157635263,0.597148031,0.954857494,0.397180765,1.453289644,0.115509471,0.986190687,0.13784022,0.60070866,1.22022256,0.291692453,6.65380294,0.501408248,0.067542658,0.69127664,0.045818857,2.749270212,0.041371102,0.394620539,0.674014887,0.054079103,0.471600415,1.83883003,0.152456151,4.046098795,0.093865793,0.105858736,0.176581022,5.250218432,0.096639929,0.236205933,4.338409291,1.338403697,0.187405714,11.16140468,0.122395106,1.622803023,0.151758584
0,48,3,0.047017116,0.037161283,0.06339341,0.661833941,0.040944082,0.137122481,0.050792249,0.068317159,0.302887727,0.4370752,0.183779796,0.085700956,12.03192517,7.064244869,6.131042719,0.036775738,0.032569609,3.052823357,0.144860339,0.148389992,0.129515211,0.025514508,0.148182243,1.922169198,0.395428684,4.052452227,1.342228502,0.139171153,0.51904601,1.087434386,0.454349676,1.103436952,0.151204615,0.862433068,0.117484395,0.495606168,0.957273905,0.23517027,5.528868161,0.400289755,0.051839492,0.63644596,0.069254482,2.864095048,0.052667632,0.317346205,0.658538197,0.057372611,0.366702272,1.683103297,0.098424176,4.576958063,0.049978673,0.112317549,0.137460889,3.528228151,0.088967331,0.366279818,4.059200154,1.277312875,0.182726312,13.09452083,0.162954217,1.206069374,0.147544084
0,48,4,0.036791387,0.039358665,0.075452011,0.568787787,0.030638538,0.170704355,0.04572952,0.069846897,0.366636008,0.499423947,0.217302824,0.098187644,14.8022158,8.095316861,6.855836026,0.040122834,0.041532149,3.834736173,0.205678257,0.149133526,0.119783328,0.027117496,0.126147081,2.410227316,0.04828778,4.719849623,1.344037763,0.183824635,0.553522123,0.937664733,0.556156857,1.638958872,0.185963546,1.035978208,0.14449924,0.546752331,1.532318703,0.205064935,6.777827353,0.450732982,0.067838836,0.239054708,0.062266508,2.81296722,0.043606129,0.470510542,0.585023164,0.06401497,0.47030758,2.212554749,0.125187294,3.727131863,0.058117155,0.073498778,0.16472959,5.740133222,0.091196162,0.491300276,5.010919337,2.139997304,0.188548685,12.53114643,0.180909731,1.873546738,0.184996697
c,24,1,0.044858167,0.012359975,0,0.24290261,0.141945477,1.729139929,0,0.103160707,0,1.265683783,0.183636829,0.118520859,13.16199009,5.6503101,4.328784401,0.056202861,0,1.657006117,0.150590252,0.38537367,0.127036681,0.138386694,0,1.947970074,0.048130557,5.104904002,3.471022079,0.462613189,0.226895265,0.847772862,1.045290546,1.500957927,0.298497363,0.802684884,0.266831222,2.491038961,0.886065424,0.650649556,7.541817217,0.385240834,0.064162769,1.007806006,0.049226947,1.31744718,0.27957704,0.553344109,0.679551986,0.053994571,0.11962159,1.777165306,0.311908698,6.210383787,0.06162966,0.164143432,0.731994427,5.184138845,0.081189621,0.140960133,2.895411243,1.381545929,0.128129149,10.35094417,0.180174626,0.507318259,0.038549691
c,24,2,0.035111112,0.013583805,0,0.117868022,0,1.882963206,0,0.101333983,0,1.299060506,0.188221895,0.149984829,15.74992067,5.678020138,7.937011826,0.061623691,0,2.154631718,0.157977151,0.347052893,0.151189438,0.134607757,0.050211705,1.593744553,0.043438637,4.931427072,3.448373606,0.273162332,0.235053941,0.648453017,1.082746699,1.713117295,0.316299239,0.862884253,0.24353364,2.002491261,2.133016472,0.629989863,6.521526254,0.429798802,0.398799275,0.762521568,0,2.292379382,0.173451377,0.552589606,0.585272178,0.056357544,0.14981142,1.849736028,0.167944589,6.790368328,0.072846895,0.191520806,0.808029266,4.101730248,0.074060633,0.123358122,3.078703528,1.031612736,0.12830863,9.071916647,0.226425334,0.39239579,0.037591192
